element,sp_num,obs_wl_air(A),intens,Aki(s^-1),Acc,Type,
Ca,1,3055.32,3,,,,
Ca,1,3071.57,2,,,,
Ca,1,3076.95,2,,,,
Ca,1,3080.79,2,,,,
Ca,1,3099.30,2,,,,
K,1,3101.791,a,1.62e+04,B+,,
K,1,3102.051,a,1.22e+04,C+,,
Ca,2,3125.18,10,,,,
Ca,1,3136.02,5,4.1e+06,D,,
Ca,1,3140.79,6,4.9e+06,D,,
Ca,1,3150.75,7,8.6e+06,D,,
Ca,2,3158.87,170,3.1e+08,C,,
Ca,2,3179.33,180,3.6e+08,C,,
Ca,1,3180.52,5,2.9e+06,D,,
Ca,2,3181.28,150,5.8e+07,C,,
Ca,1,3209.96,7,7.3e+06,D,,
Ca,1,3215.17,8,1.1e+07,D,,
Ca,1,3215.34,6,5.1e+06,D,,
K,1,3217.151,a,5.01e+04,B+,,
K,1,3217.615,a,4.00e+04,C+,,
Ca,1,3225.90,9,1.6e+07,D,,
Ca,1,3226.15,6,4.0e+06,D,,
Ca,1,3274.67,5,3.0e+06,D,,
Ca,1,3286.07,6,5.3e+06,D,,
Na,1,3302.369,19,2.75e+06,A,,
Na,1,3302.979,18,2.73e+06,B+,,
Ca,2,3308.02,10,,,,
Ca,2,3316.51,20,,,,
Ca,1,3344.51,10,1.51e+07,C,,
Ca,2,3347.04,10,,,,
Ca,1,3350.21,11,1.78e+07,C,,
Ca,1,3350.36,9,1.11e+07,C,,
Ca,1,3361.92,12,2.23e+07,C,,
Ca,1,3362.14,9,6.5e+06,C,,
Na,1,3416.2,,1.5e+07,D,,
Na,1,3427.3,9,2.8e+07,D,,
K,1,3446.376,a,1.65e+05,B+,,
K,1,3447.376,a,1.45e+05,C+,,
Ca,2,3452.66,10,,,,
Ca,2,3461.87,20,,,,
Ca,1,3468.48,9,1.3e+06,D,,
Ca,1,3474.76,11,4.6e+06,D,,
Ca,2,3485.61,10,,,,
Ca,1,3487.60,13,7.8e+06,D,,
Na,1,3489.0,130,4.2e+07,D,,
Ca,2,3495.16,10,,,,
Na,1,3502.5,160,8.8e+07,D,,
Na,1,3511.0,130,1.15e+08,D,,
Ca,1,3624.11,15,2.12e+07,C+,,
Ca,1,3630.75,17,2.97e+07,C+,,
Ca,1,3630.97,14,1.53e+07,C+,,
Ca,1,3644.41,20,3.55e+07,C+,,
Ca,1,3644.77,14,9.4e+06,C+,,
Ca,1,3644.99,8,9.5e+05,C+,,
Ca,1,3675.29,5,2.2e+06,D,,
Ca,1,3678.21,6,2.3e+06,D,,
Ca,2,3683.70,30,,,,
Ca,2,3694.11,40,,,,
Ca,2,3694.36,10,,,,
Ca,2,3706.03,170,8.8e+07,C,,
Ca,2,3736.90,180,1.7e+08,C,,
Ca,2,3739.38,10,,,,
Ca,1,3748.35,6,3.4e+06,D,,
Ca,1,3750.29,8,3.4e+06,D,,
Ca,1,3753.34,9,4.1e+06,D,,
Ca,2,3755.67,20,,,,
Ca,2,3758.39,30,,,,
Na,1,3833.6,,,,,
