# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2015-08-16T02:09:09.457000	5704.490099214751	5705.049992248168	[5704.77068497,5704.85016922,5704.85050405]	[0.81499446,0.26208713,0.07266481]	[0.0111814 ,1.32668135,0.03513206]	[-0.32801964, 0.03365458,-1.99967019]	0.1590695379724456	3.124095830818109	0.195068727850488
2015-08-16T02:09:09.457000	5752.820865706531	5753.4207510994775	[5753.13222872,5753.15001117]	[0.26580371,0.16680618]	[0.1418366 ,0.03015241]	[0.98767893,1.99619273]	0.2692671830124513	0.3339996789757481	0.19001885257899756
2015-08-16T02:09:09.457000	5768.697832439866	5769.497679630463	[5768.99775604,5769.19775604,5768.99775604]	[0.11944019,0.12253076,0.21331932]	[0.23784344,0.28237628,0.08277778]	[ 2.        ,-1.99977804,-1.7466466 ]	0.37698358442201324	0.6649453200524978	0.3424442151296375
2015-08-16T02:09:09.457000	5770.877416034241	5774.796667268163	[5772.93704165,5772.93704163,5772.93704119]	[0.08734892,0.17746889,0.06873571]	[1.99999999,0.7365477 ,0.28155237]	[-1.99999897, 1.71277809,-1.99999993]	0.1781418296172528	4.70964006728843	1.5488086619661832
2015-08-16T02:09:09.457000	5780.195635804687	5780.835513557165	[5780.41557468]	[0.13061486]	[0.24693806]	[1.99999999]	0.2879066564300375	0.5814946857842066	0.06572288200157887
2015-08-16T02:09:09.457000	5793.393114449526	5793.953007482944	[5793.70450707,5793.58853619,5793.64094153]	[0.12249829,0.05940955,0.24473664]	[0.06429387,0.05398225,0.0271702 ]	[-2., 2.,-2.]	0.1315518661492552	0.1514004919576398	0.17171637435309534
2015-08-16T02:09:09.457000	5817.508507246003	5818.588300953308	[5817.95085459,5818.13579165,5818.1484041 ]	[0.45964998,0.1816481 ,0.08910945]	[0.11225095,1.94103804,0.03398019]	[-0.29374237,-0.13757589,-1.93719342]	0.17060626009577368	4.57079527595684	0.40248016889143073
2015-08-16T02:09:09.457000	5885.395537547863	5885.95543058128	[5885.66136531,5885.77548406,5885.67215636]	[0.30102445,0.28207126,0.19895573]	[0.00872613,0.07219301,0.07241702]	[-1.49181483,-0.53906226, 2.        ]	0.21459827287404348	0.17052904732266097	0.23043246939806164
2015-08-16T02:09:09.457000	5922.26849303435	5923.108332584477	[5922.78841281,5922.73973407,5922.63806734]	[0.07610432,0.11894505,0.61019083]	[0.52792278,0.02267097,0.11957056]	[-1.99978946, 1.99702355, 0.25335744]	0.09645324191891075	1.243163150927774	0.3400451005003683
2015-08-16T02:09:09.457000	5973.558694131337	5974.398533681462	[5974.01428395,5974.01125658,5974.07861275]	[0.17076758,0.06036427,0.23479036]	[0.0375746 ,0.04191999,0.35686077]	[ 2.        ,-1.99995298, 0.01355674]	0.13626723104603258	0.8403429060566313	0.2561815032385679
2015-08-16T02:09:09.457000	5975.478327388767	5976.278174579364	[5975.77825098,5975.77829094,5975.85404883]	[0.08076543,0.18061129,0.62194321]	[0.03864964,1.99778107,0.04132076]	[ 1.99918564, 1.2462644 ,-0.65850465]	0.09441376926616932	4.704414920712766	0.2649424891078763
2015-08-16T02:09:09.457000	5995.25454917626	5997.134190074161	[5996.09436963,5996.20585853]	[0.23670145,0.56840031]	[2.        ,0.01901185]	[1.55743239,0.72323443]	0.4574264633846906	4.709640090061898	0.47487928747902813
2015-08-16T02:09:09.457000	6014.010965795743	6014.930790064928	[6014.44686924,6014.37087793,6014.44911489]	[0.54019073,0.08638359,0.11094505]	[0.01456818,0.19720224,0.16598313]	[-0.90562581, 2.        ,-2.        ]	0.36629793821992523	0.4643757802508162	0.2963567035569762
2015-08-16T02:09:09.457000	6018.510106242847	6019.469922871563	[6019.04161131,6018.89150032,6019.09001455]	[0.43981152,0.13785854,0.32717213]	[0.07153417,0.08413668,0.97845189]	[ 0.69199574, 1.99596986,-1.9999505 ]	0.17487583382823932	2.3040781302280906	0.5076224356634814
2015-08-16T02:09:09.457000	6019.429930512032	6020.02981590498	[6019.62987321,6019.76089669,6019.82987321]	[0.3947961 ,0.21624994,0.18435385]	[0.00624909,0.0241095 ,0.60691632]	[ 1.99999964, 2.        ,-1.22085671]	0.16281174497175602	1.4291787066453052	0.15513241146564583
2015-08-16T02:09:09.457000	6112.312185520024	6112.912070912972	[6112.51262478,6112.51212822,6112.61409169]	[0.15767386,0.15927948,0.99998528]	[0.05665337,0.53881043,0.00500228]	[-1.66926652, 2.        ,-1.92923664]	0.23124758263008038	1.268801596935177	0.15894166118331632
2015-08-16T02:09:09.457000	6139.806932696772	6140.406818089718	[6140.00687539,6140.02786451]	[0.12454754,0.11046238]	[0.12920677,0.05954227]	[-1.89972445, 1.99999999]	0.2532338812204816	0.3042586890463784	0.1948487740238256
2015-08-16T02:09:09.457000	6165.941939649505	6166.621809761511	[6166.22522713,6166.34393273,6166.38187471]	[0.85062018,0.57212036,0.07862747]	[0.06919902,0.03363227,0.08523896]	[-0.13776055,-0.32816981,-1.99711454]	0.13335774705664177	0.2007224066565795	0.2889555006524913
2015-08-16T02:09:09.457000	6211.713195131376	6212.553034681503	[6212.03311491,6212.03311491,6212.03311491]	[0.11459073,0.19938437,0.29309935]	[0.05498621,0.10963219,1.34271915]	[ 2.        ,-1.77610832, 2.        ]	0.26139031042048266	3.161861973812446	0.4543677680116574
2015-08-16T02:09:09.457000	6236.808400736334	6237.408286129281	[6237.11016581,6237.20834295]	[0.6183462 ,0.40962067]	[0.00799035,0.39598661]	[-0.55515453, 0.57990814]	0.26006240402720854	0.9324771954209057	0.26597044202540343
2015-08-16T02:09:09.457000	6383.820314367929	6385.979901782538	[6385.00010808,6385.00007346,6384.80010808]	[0.03783197,0.22426536,0.05940606]	[0.26290119,0.76382605,0.44856966]	[-2.        ,-0.27089712, 1.99999999]	0.23218561431551213	1.7986728966056178	0.6953649109333864
2015-08-16T02:09:09.457000	6454.726767814288	6456.086508038302	[6455.32043453,6455.37578397,6455.30663793]	[0.09843945,0.17302064,0.17095713]	[0.08382099,0.34228682,0.48613692]	[-2.,-2., 2.]	0.17612856047386782	1.144764970751886	0.7753675598737013
2015-08-16T02:09:09.457000	6455.206676128647	6456.646401071719	[6456.0265386,6456.0265386,6455.8265386]	[0.26225615,0.08261807,0.36814021]	[0.28882704,0.03923738,0.25157305]	[-0.56278228,-2.        , 0.96745594]	0.2086904602931433	0.6801357103284468	0.6715122979526761
2015-08-16T02:09:09.457000	6460.265709609167	6460.985572080704	[6460.52564084,6460.56358122,6460.72564084]	[0.08905414,0.08793954,0.52624621]	[0.35331062,0.07877061,0.08239103]	[ 1.99996156, 1.99717188,-0.52119705]	0.2490954639452862	0.8319829417778204	0.28330574307594597
2015-08-16T02:09:09.457000	6520.494203061067	6521.094088454014	[6520.81140013]	[0.75725066]	[0.11709975]	[0.29385603]	0.2069298911110649	0.2757488403112575	0.2939910370545923
2015-08-16T02:09:09.457000	6597.499491335722	6598.09937672867	[6597.76341034]	[0.67516799]	[0.04343255]	[0.01461393]	0.4731001534756963	0.10227584331066208	0.10201309652433686
2015-08-16T02:09:09.457000	6630.553176487114	6631.153061880062	[6630.93936814,6630.8048582 ,6630.84779296]	[0.50936327,0.15851906,0.86583883]	[0.02006372,0.04512248,0.09960912]	[-0.3185657 ,-1.99193004, 0.94636514]	0.16429995757451865	0.23456155383413635	0.3026948875383814
2015-08-16T02:09:09.457000	4682.105508795906	4683.145309798653	[4682.7254093,4682.5254093,4682.7254093]	[0.32621522,0.13103562,0.06678432]	[0.11593668,0.12659492,0.27143705]	[ 1.41655149, 1.99999983,-2.        ]	0.14511148007648186	0.6391854162860063	0.47722052249775165
2015-08-16T02:09:09.457000	4724.617372869812	4726.896936606607	[4725.85715474,4725.65715474,4725.85715474]	[0.01946142,0.08551516,0.4725032 ]	[0.54012804,1.71428803,0.37449948]	[-1.99998565, 2.        , 0.37533045]	0.08693130396624649	4.036839820827118	0.9126913470052205
2015-08-16T02:09:09.457000	4962.351875209738	4964.271507830196	[4963.21169152,4963.41169152,4963.36237934]	[0.25703864,0.67577623,0.09622439]	[0.09172102,0.16820095,1.98526281]	[ 0.8396049 , 0.04381276,-0.33581228]	0.08957195451324318	4.674936651295509	0.6835470114178485
2015-08-16T02:09:09.457000	5054.014332836638	5054.894164454348	[5054.55424865,5054.48658628,5054.35424865]	[0.09699338,0.39180415,0.15021991]	[0.26476245,0.05933577,0.16126316]	[-1.99999998, 0.98269528, 2.        ]	0.21713645947690274	0.6234679155202847	0.36936037913169645
2015-08-16T02:09:09.457000	5115.742519288261	5118.9419069890255	[5117.24221314,5117.24221314,5117.44221314]	[0.1660272 ,0.27730278,0.12344773]	[1.99999998,0.31688257,1.353699  ]	[ 2.        , 0.59106351,-2.        ]	0.24321390858589706	4.709640031555857	1.5094843929602269
2015-08-16T02:09:09.457000	5402.287680237973	5405.7270220162945	[5403.90735113,5403.90735113,5404.10734933]	[0.02799342,0.04186939,0.11868854]	[0.4219572 ,0.37967869,1.99999998]	[ 1.99999985,-0.93975425,-0.79805265]	0.09205097236737653	4.709640040642728	0.5792105410381001
2015-08-16T02:09:09.457000	5521.644837649615	5522.324707536028	[5521.88477259,5522.08471425,5522.00005198]	[0.26401043,0.27848631,0.4838419 ]	[0.04260671,1.2374911 ,0.0120983 ]	[ 0.72701047,-1.99997403, 0.89620858]	0.20224672389019335	2.9140688503409913	0.22922535541756656
2014-09-27T23:59:08.460000	4688.124445515464	4688.724338545549	[4688.52439203,4688.32442687,4688.39736678]	[0.05100595,0.37374616,0.16018927]	[0.03382472,0.73273539,0.03328146]	[-1.98195159, 1.12279345,-2.        ]	0.1267287610208558	1.725459984112632	0.2531066122658848
2014-09-27T23:59:08.460000	4962.575506779272	4964.095235788819	[4963.43536918,4963.43537104,4963.28488889]	[0.56270035,0.15195908,0.15786409]	[0.13278186,0.17032251,0.17341926]	[ 0.58939225,-1.0756641 , 1.31125573]	0.050769450105857476	0.4083711414612535	0.5804166401515598
2014-09-27T23:59:08.460000	5256.60307725818	5257.28295602561	[5257.04301659,5256.84301664]	[0.07610435,0.47820174]	[1.99999996,0.11245147]	[-0.12290351,-0.73934284]	0.20951580945031364	4.70963998413982	0.2651751008377109
2014-09-27T23:59:08.460000	5417.534380795602	5419.094102673822	[5418.23229438,5418.21424173,5418.21424173]	[0.08962501,0.55441414,0.09106093]	[0.08573622,0.2516789 ,0.08929392]	[-2.        ,-0.18980392, 2.        ]	0.06149634144894478	0.5926585110054218	0.6395929736850263
