# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	R2	FWHM [Å]	EW [Å]
2016-06-13T07:51:04.085000	4000.01807667668	4000.6581084254067	[4000.35809255]	[0.05252868]	[0.05405383]	[2.]	0.3553943986660885	0.051110945676920316	0.12728703823056373	0.04292248268256818
2016-06-13T07:51:04.085000	4038.259973663112	4040.1400669249974	[4038.55998755]	[0.15063207]	[0.37596983]	[-2.]	0.11618927476963374	0.8022341244496234	0.885341294881784	0.6696803392955701
2016-06-13T07:51:04.085000	4064.8412922274256	4065.441321991857	[4065.12130711]	[0.18608869]	[0.0840572]	[-0.91686293]	0.19272043236479527	0.27181044001402843	0.19793956914089506	0.10749678315287235
2016-06-13T07:51:04.085000	4066.3813686228	4066.941396402936	[4066.68137949,4066.54748768]	[0.45888403,0.42349669]	[0.02633476,0.03920372]	[-0.0989429, 0.1941175]	0.260657383837988	0.2730418014428162	0.09231770161145875	0.1487365179508129
2016-06-13T07:51:04.085000	4174.946754000599	4176.8668492467805	[4175.92680162,4176.2468175 ]	[0.63752668,0.62776026]	[0.11797309,0.11936276]	[ 0.2517932 ,-0.15438181]	0.06504791776034048	0.9574237633654509	0.2810778154923503	0.6311388036289549
2016-06-13T07:51:04.085000	4499.642860526614	4503.3630450660885	[4499.85415122,4501.84297066,4500.60290914]	[3.92338888e-34,5.61862920e-01,1.65916089e-01]	[8.60727311,0.44488388,0.19697509]	[0.57716166,0.51435352,0.86754301]	0.09312507770053824	0.8788546358857275	20.2685792420274	1.484728026874753
2016-06-13T07:51:04.085000	4594.687575212558	4597.127696254578	[4596.7476784 ,4595.48761391]	[0.10926557,0.16283637]	[0.29249211,0.2931392 ]	[ 1.99999336,-1.99996925]	0.05260186048679681	0.9761630336606446	0.6902900658069199	0.8657025394167415
2016-06-13T07:51:04.085000	4721.553868405517	4731.634368447965	[4729.63427023,4730.73432479,4726.01409065]	[0.13157894,0.07928163,0.5476967 ]	[0.85525212,0.07536752,0.63645066]	[ 1.36597489, 0.44716169,-0.74618782]	0.052581840047385774	0.9596167505718494	2.0139648404645243	2.523052749707557
2016-06-13T07:51:04.085000	4762.815915206254	4763.495948939276	[4763.17593207]	[0.20994984]	[0.03693722]	[1.77029415]	0.2958897487856883	0.323625964863276	0.08698050455554152	0.09872764375817056
2016-06-13T07:51:04.085000	4777.136625584018	4781.6968517936975	[4780.85681112,4778.43669107,4779.89676349]	[0.04707978,0.086424  ,0.72635738]	[0.15847841,0.17301193,0.39148111]	[-0.99757376,-0.1095695 , 0.38184344]	0.052838218641176236	0.9634254410030887	0.921867568048171	1.324264089819357
2016-06-13T07:51:04.085000	4779.236729759528	4780.196777382618	[4779.40211512,4779.51480011,4779.73675204]	[0.3760834 ,0.24787716,0.4064942 ]	[0.01933392,0.01840809,0.12508466]	[-0.86143399,-0.00555755,-0.63265864]	0.15624193727315752	0.6284574901325684	0.294551869424991	0.35393460985173464
2016-06-13T07:51:04.085000	4823.238912484502	4825.319015667865	[4824.19647099,4823.75893729]	[0.68754287,0.41865055]	[0.12822342,0.08645799]	[-0.07467707,-0.14001483]	0.12509626723313935	0.8369244894606952	0.3019430695225874	0.5916630773767128
