# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2016-06-13T07:51:04.085000	4496.346053665809	4505.356835082755	[4502.99994726,4502.44557627]	[0.00952323,0.00064027]	[1.53196585e+00,1.14383026e-03]	[ 1.35621438,-3.29881905]	0.0016396241487995154	3.607503892675402	0.08529665530616459
2016-06-13T07:51:04.085000	4654.370680617651	4700.020967912338	[4683.52702027,4684.        ,4682.14309472]	[8.72657873e-03,3.66914296e-02,3.39968061e-17]	[0.6658593 ,9.35666091,2.56519901]	[  0.71400388,  0.71034701,-27.92284323]	0.008947038900162997	22.03325266614284	1.3744769374379837
2016-06-13T07:51:04.085000	4713.965575147734	4718.468011721096	[4726.2]	[0.1]	[0.1]	[2.]	0.011780477916427052	0.23548200450309495	0.0
2016-06-13T07:51:04.085000	4969.47744911095	4978.0889321851455	[4963.8]	[0.1]	[0.1]	[2.]	0.001341716799337517	0.23548200450309495	0.0
2014-09-15T02:54:57.163000	4969.052350647818	4997.527069687539	[4989.,4987.]	[6.03774022e-02,4.76362828e-16]	[4.86417564,1.12358244]	[  1.51132875,-27.50535297]	0.022314348082157272	11.454258304887034	1.825260360049078
2014-09-15T02:54:57.163000	4966.462620701346	4998.676935835114	[4985.07826437,4983.8074189 ,4985.8       ]	[0.10879558,0.05862113,0.07111274]	[5.64564257,0.88650652,0.31363743]	[ 0.49065147,-0.40587368,-0.56760848]	0.016634746900942587	13.294472297326369	2.163007632692697
2014-09-15T02:54:57.163000	4966.8026601490965	4996.9370288050995	[4980.03935978]	[0.13895788]	[4.65413771]	[-0.42526253]	0.02479185117054932	10.959656760876786	2.0899893912208203
2016-06-12T06:12:33.957000	5848.610009379333	5850.465537720936	[5849.25993056,5849.89790331,5849.51165406]	[0.01890064,0.01664704,0.02452021]	[0.11377981,0.104131  ,0.08532897]	[ 0.20149174, 0.45211147,-0.3431733 ]	0.0012293723522063048	0.2679309881365474	0.021785878859647695
2016-06-12T06:12:33.957000	6019.278774051789	6019.3259330857145	[6019.11733747]	[0.16056663]	[0.04746153]	[2.0054018]	0.00219834522922798	0.11176336099285254	1.1439101337786161e-05
2016-06-12T06:12:33.957000	5775.9633531589	5784.548455679237	[5780.62142006,5780.38035761,5780.7458243 ]	[0.09319357,0.003733  ,0.00300841]	[0.66586884,0.06339547,0.00353592]	[0.4538694 ,1.06337438,0.21032781]	0.002908080862551857	1.568001298385841	0.2370137968726701
2016-06-12T06:12:33.957000	5973.733420790315	6007.949750681191	[5995.0457489]	[0.00453506]	[0.40824567]	[0.3405416]	0.011066525234181045	0.961345075527224	0.006739506667822396
2016-06-12T06:12:33.957000	5698.32576962933	5710.941958848206	[5705.00113951]	[0.00506714]	[0.00173353]	[-2.82250085]	0.02543256157770363	0.004082144366671459	4.4530131811738184e-08
2016-06-12T06:12:33.957000	6437.789939180848	6440.877431710418	[6439.34893872,6438.99009328,6439.55084408]	[0.01047123,0.00729304,0.00754266]	[0.08604451,0.09841232,0.06036519]	[ 0.33048718, 0.38754821,-0.07226823]	0.002144192886226292	0.2317432991423078	0.007569247627521955
2016-06-12T06:12:33.957000	6279.200692642274	6280.778080461922	[6270.]	[0.1]	[0.1]	[2.]	0.08415740962074084	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	5840.10156870784	5847.333664352511	[5843.9       ,5843.93867657,5844.56104064]	[1.24902221e-17,5.26950380e-03,4.96560589e-03]	[1.52530867,1.10358331,0.10429905]	[28.37434894, 0.1063861 ,-0.24973312]	0.0015497312491759248	3.5918274218325927	0.022404755209271203
2016-06-12T06:12:33.957000	6611.666773670765	6614.969984963657	[6613.21347369,6613.29451836,6613.77613135]	[0.0016588 ,0.04314904,0.0645406 ]	[0.12704458,0.05859397,0.34322219]	[4.16625429,0.14211776,0.91578229]	0.0033030380150633203	0.8082264982020655	0.12149353088492501
2016-06-12T06:12:33.957000	6489.089531493389	6489.540536256155	[6489.33727085,6489.32563754,6489.1316274 ]	[0.03365828,0.03862795,0.00855842]	[0.04226733,0.02128741,0.00320241]	[0.76587588,0.19476288,2.05052183]	0.000975749710875273	0.09953194596894623	0.009003941921135246
2016-06-12T06:12:33.957000	5893.066178556471	5948.693217960953	[5922.5      ,5923.9035942]	[0.01399945,0.08354454]	[1.29880186e+02,7.82965367e-02]	[ 2.18240179,-0.17821798]	0.06332231403655174	305.8444654425388	0.8323523597929161
2016-06-12T06:12:33.957000	6210.5083503042915	6211.106689933649	[6220.8]	[0.1]	[0.1]	[2.]	0.001231738758289069	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	5997.375370696355	5997.628160140418	[5998.7       ,5997.49765113]	[0.97691018,0.03855449]	[1.10246475,0.02304892]	[-34.98808134, -0.35135576]	0.00046794072494541703	2.5961060933448286	0.0032459734307344035
2016-06-12T06:12:33.957000	5719.571217952621	5719.897325302024	[5719.69980524]	[0.02312524]	[0.02749328]	[-1.19985427]	0.0012675541840184565	0.06474173172989955	0.0033811556708425055
2016-06-12T06:12:33.957000	5752.786315805479	5753.404027513034	[5752.72382897,5753.24233178]	[4.64276618e-08,1.50176457e-16]	[0.1595464 ,0.03698389]	[-10.8869539 , 27.26696267]	0.0007688255909708286	0.37570306540864384	0.002431304685827681
2016-06-12T06:12:33.957000	6423.905872470654	6426.920747314825	[6425.14362669,6425.70651366,6425.73412616]	[0.00548801,0.01027897,0.00338469]	[0.03141731,0.26653025,0.01211889]	[1.75055212,0.85527549,0.01774363]	0.00164992319037211	0.6276307821449999	0.013597667078177013
2016-06-12T06:12:33.957000	5818.534754333506	5818.699124362242	[5828.6]	[0.1]	[0.1]	[2.]	0.0008363518847512481	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	6161.403520101326	6184.009464308277	[6183.7]	[0.00110142]	[10.07273059]	[2.24766619]	0.002330311776155063	23.719467896397305	0.0959272530746842
2016-06-12T06:12:33.957000	6058.52081729883	6059.486032001008	[6059.3552307 ,6058.58030105]	[1.77285928e-02,6.35797820e-08]	[0.00304522,0.15524865]	[  1.16462285,-10.61149354]	0.0013142336446557033	0.36558262682362574	0.0014231172064265365
2016-06-12T06:12:33.957000	5946.524560085422	5947.836255547102	[5946.96287803,5947.54027827,5947.26359864]	[0.06066815,0.00705311,0.09945688]	[0.04640365,0.07446402,0.0363421 ]	[-1.03494432,-0.68583317, 1.16087284]	0.005601526314366564	0.17534937790789934	0.033756019153012295
2016-06-12T06:12:33.957000	6200.647454686465	6204.967153881484	[6203.64197602,6203.25500793,6202.1       ]	[0.00049073,0.00450668,0.01041492]	[0.39744617,0.04483802,0.60053734]	[ 4.23701487,-0.24774165,-0.62786793]	0.0013984155097900518	1.4141573692991143	0.04272375497516122
2016-06-12T06:12:33.957000	6468.463227502002	6468.605718984735	[6469.51404743,6468.53565065]	[0.00026767,0.00886986]	[0.55386068,0.01411106]	[-20.39299691, -0.18334202]	0.0025416116852241774	1.3042422300314196	0.00044616887052562895
2016-06-12T06:12:33.957000	6064.4212434370975	6065.665931773586	[6065.19389658,6065.30948589,6064.99250871]	[7.31100981e-03,5.47182728e-05,8.68811273e-03]	[0.06455822,0.05642185,0.08766994]	[ 0.15172126,-4.1335939 , 0.37550243]	0.0007736797186163125	0.20644692118020846	0.0047474531090864955
2016-06-12T06:12:33.957000	6438.495047716866	6439.932316699351	[6449.2]	[0.1]	[0.1]	[2.]	0.007418719885516927	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	5807.562184683126	5807.671100466382	[5817.6]	[0.1]	[0.1]	[2.]	0.0007192472643103532	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	6357.621317890876	6497.325413049627	[6418.79060612,6418.31506034,6419.9       ]	[0.00165419,0.00353791,0.00413188]	[6.18440432e-02,1.64063086e-01,1.19545475e+02]	[ 0.40620041,-0.02043703,-2.8859759 ]	0.018262128867481544	281.50808194581543	0.9476030014983462
2016-06-12T06:12:33.957000	6368.363272279422	6368.620276174063	[6358.5]	[0.1]	[0.1]	[2.]	0.005817471647898817	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	6085.139123668088	6108.0697544807135	[6101.30000001,6101.79269252]	[7.72002470e-05,4.04969125e-03]	[0.51486788,4.90411714]	[-4.29462969, 1.82405975]	0.005555337040790432	11.548313344399652	0.1652280781719268
2016-06-12T06:12:33.957000	5953.309215780338	5995.053056738409	[5974.58006289,5974.7       ]	[1.38772175e-02,1.01217658e-18]	[3.44666022,3.87112573]	[ -0.19911403,-30.65431683]	0.016487368175412694	9.115804458102104	0.2304372626867046
2016-06-12T06:12:33.957000	6263.28518257295	6300.41369089452	[6284.89999533,6283.66342812]	[0.06275785,0.04375614]	[4.52958489,0.57538948]	[ 0.6384343 ,-0.07337788]	0.04346881345506747	10.666357287312145	1.2108790533233327
2016-06-12T06:12:33.957000	6373.953321447737	6377.750624142142	[6375.98592947,6376.73970012,6375.71698947]	[0.01263822,0.00514445,0.02247232]	[0.10745797,0.18033083,0.10574731]	[-0.02628743, 0.50750191, 0.62644668]	0.0019368162512547438	0.4246466618094797	0.01773136889812787
2016-06-12T06:12:33.957000	5775.821811192391	5776.5697785732245	[5766.2]	[0.1]	[0.1]	[2.]	0.001761309822062337	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	6438.346390011416	6482.682123726155	[6455.40344105,6456.14910946,6454.8       ]	[6.72219239e-03,3.24712409e-03,1.03416693e-16]	[0.27162027,0.10729698,0.12514159]	[-0.3118153 , 0.30769314,27.71164225]	0.02090967568813567	0.6396168498933096	0.01260733648473117
2016-06-12T06:12:33.957000	6016.257523125033	6052.748004185455	[6034.6,6036.6]	[8.99598455e-12,1.22856341e-02]	[0.62830296,5.466121  ]	[-17.85187461,  0.25700796]	0.0029140513376095796	12.871731307254505	0.24291157806019892
2016-06-12T06:12:33.957000	5804.06100479458	5804.372096895183	[5814.2]	[0.1]	[0.1]	[2.]	0.001526745611849502	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	6212.174624471366	6219.560688797844	[6215.68432967,6214.97848567,6216.74594484]	[1.60713816e-02,6.54583885e-05,2.49861117e-03]	[0.00323572,0.28561143,0.36589068]	[ 3.0868905 ,-4.38042776, 0.12356301]	0.0016742768420707672	0.8616067097865255	0.00524079109305494
2016-06-12T06:12:33.957000	6161.349921467798	6161.902465078865	[6161.75154244,6161.59271125,6162.2343545 ]	[0.0029523 ,0.01031939,0.05995681]	[0.01908991,0.05765017,0.02283855]	[-0.10060436,-0.26423743,-4.05885196]	0.00071126821278162	0.13575576537414955	0.0023745093024677144
2016-06-12T06:12:33.957000	6115.482702826122	6117.64725233931	[6116.92959324,6116.19745739,6116.83338724]	[0.00211611,0.00326983,0.00070304]	[0.02408779,0.32965077,0.00131194]	[-0.11859161,-1.08668087,-2.15157355]	0.0011184197511043042	0.7762682453607348	0.005535015766113597
