# Observation date	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2016-06-13T07:51:04.085000	[4502.99994726,4502.44557627]	[0.00952323,0.00064027]	[1.53196585e+00,1.14383026e-03]	[ 1.35621438,-3.29881905]	0.0016396241487995154	3.607503892675402	0.08529665530616459
2016-06-13T07:51:04.085000	[4683.52702027,4684.        ,4682.14309472]	[8.72657873e-03,3.66914296e-02,3.39968061e-17]	[0.6658593 ,9.35666091,2.56519901]	[  0.71400388,  0.71034701,-27.92284323]	0.008947038900162997	22.03325266614284	1.3744769374379837
2016-06-13T07:51:04.085000	[4726.2]	[0.1]	[0.1]	[2.]	0.011780477916427052	0.23548200450309495	0.0
2016-06-13T07:51:04.085000	[4963.8]	[0.1]	[0.1]	[2.]	0.001341716799337517	0.23548200450309495	0.0
2014-09-15T02:54:57.163000	[4989.,4987.]	[6.03774022e-02,4.76362828e-16]	[4.86417564,1.12358244]	[  1.51132875,-27.50535297]	0.022314348082157272	11.454258304887034	1.825260360049078
2014-09-15T02:54:57.163000	[4502.12013657,4501.9749956 ]	[0.03600397,0.0178759 ]	[0.00355638,0.56754923]	[-1.70927597, 0.47763425]	0.0042834966985391765	1.3364763112829028	0.03774030279578119
2014-09-15T02:54:57.163000	[4683.99999999,4683.44120509,4682.83510105]	[0.00489225,0.01456956,0.02149897]	[0.41365454,0.26609439,0.13303645]	[-0.81949521, 0.1172602 , 0.23975272]	0.0045364968923646155	0.974081995470605	0.03261290937816363
2014-09-15T02:54:57.163000	[4985.07826437,4983.8074189 ,4985.8       ]	[0.10879558,0.05862113,0.07111274]	[5.64564257,0.88650652,0.31363743]	[ 0.49065147,-0.40587368,-0.56760848]	0.016634746900942587	13.294472297326369	2.163007632692697
2014-09-15T02:54:57.163000	[4726.2]	[0.1]	[0.1]	[2.]	0.0034787697528854272	0.23548200450309495	0.0
2014-09-15T02:54:57.163000	[4963.8]	[0.1]	[0.1]	[2.]	0.004018104579955367	0.23548200450309495	0.0
2014-09-15T02:54:57.163000	[4980.03935978]	[0.13895788]	[4.65413771]	[-0.42526253]	0.02479185117054932	10.959656760876786	2.0899893912208203
2014-09-16T03:33:27.834000	[4502.]	[0.1]	[0.1]	[2.]	0.005288117518287183	0.23548200450309495	0.0
2014-09-16T03:33:27.834000	[4682.16504486,4682.92538487,4682.47973071]	[0.00176011,0.01950829,0.00034166]	[0.91531007,0.16559242,0.04660574]	[-2.76949001, 0.40551098,-4.44338531]	0.0018824831959364085	2.155390494793772	0.03931127764078103
2014-09-16T03:33:27.834000	[4726.2]	[0.1]	[0.1]	[2.]	0.0061774468480613656	0.23548200450309495	0.0
2014-09-16T03:33:27.834000	[4963.8]	[0.1]	[0.1]	[2.]	0.0022294381224205314	0.23548200450309495	0.0
2014-09-16T03:33:27.834000	[4979.38207822,4979.27748503,4979.76281732]	[0.00446628,0.00593917,0.00607403]	[0.00048335,0.00116632,0.00049009]	[-0.66659517, 0.65797721, 2.35192692]	0.2641362994938643	0.002746466181673841	4.160904031021999e-12
2017-07-05T02:42:24.059000	[4988.10459165,4987.6336788 ]	[0.10228169,0.46959157]	[0.05198326,0.00561623]	[0.14422595,2.96094355]	0.0007708119133574342	0.12241121101994887	9.219191054744976e-06
2017-07-05T02:42:24.059000	[4501.00000216,4501.93900463,4502.30997435]	[0.02450886,0.00332242,0.00443047]	[0.88233017,2.43896228,3.0328444 ]	[-0.13935191, 1.99798564,-0.99964345]	0.00286084588981773	7.141802775672091	0.21466452712927464
2017-07-05T02:42:24.059000	[4683.0426384,4682.       ,4682.0370439]	[0.00680706,0.0551471 ,0.00750412]	[0.21485725,8.53669946,0.71728496]	[ 0.8116209 , 0.28614169,-0.36454874]	0.009827693512004385	20.10239100783101	1.5705705791507873
2017-07-05T02:42:24.059000	[4725.9023213,4725.60578  ,4727.2      ]	[0.00923199,0.00932584,0.01575414]	[0.00364609,0.664371  ,1.8434722 ]	[-3.67659705,-1.08816804,-0.53227081]	0.0016818451458706887	4.341045287338212	0.1400989740192168
2017-07-05T02:42:24.059000	[4963.8]	[0.1]	[0.1]	[2.]	0.0019553595256258656	0.23548200450309495	0.0
2017-07-05T02:42:24.059000	[4979.6]	[0.1]	[0.1]	[2.]	0.007484056965126451	0.23548200450309495	0.0
2015-06-26T02:26:04.059000	[4501.38219115,4501.84746307,4501.39459874]	[0.00603828,0.01067519,0.00312427]	[0.71488587,0.28407893,0.7550033 ]	[ 1.02129488, 0.49708285,-1.50688176]	0.0017249968978954415	1.7778969129560123	0.04765454120369955
2015-06-26T02:26:04.059000	[4683.3342527 ,4683.88483193,4684.        ]	[0.00787427,0.00026625,0.03159957]	[0.66986376,0.47245352,9.58200299]	[-0.48326387, 4.04105643, 0.83327892]	0.007762559393047057	22.56389270810054	1.2055735694826852
2015-06-26T02:26:04.059000	[4726.2]	[0.1]	[0.1]	[2.]	0.10104466104899938	0.23548200450309495	0.0
2015-06-26T02:26:04.059000	[4963.71757367,4964.58658944,4962.80000047]	[0.01330731,0.01177614,0.00478296]	[0.16240693,0.35133096,7.31233749]	[ 0.24717133, 0.03083169,-1.3202156 ]	0.002769762190584944	17.21923890761513	0.20412923713476872
