# Observation date	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2016-08-13T03:32:39.662000	[4502.03271254,4502.17768769,4501.49729912]	[0.01549484,0.02213554,0.01054365]	[0.24264539,1.06103754,0.1180889 ]	[0.29062702,0.58813045,0.15976511]	0.002231037777157542	2.4985524753893467	0.10647816362533291
2016-08-13T03:32:39.662000	[4682.73619961,4684.        ,4682.64370089]	[2.98236918e-17,2.38062628e-02,4.48128281e-03]	[0.828655  ,0.84527879,0.2365982 ]	[-29.77863498, -0.45200883, -2.2204176 ]	0.0031897273920188135	1.9904794430095984	0.22454111293165255
2016-08-13T03:32:39.662000	[4726.49288319,4725.2000149 ,4725.20033275]	[0.00040893,0.00352368,0.00820872]	[0.19229539,1.76660923,0.66271595]	[ 2.47343726,-1.96051783,-1.78251855]	0.003527272024389714	4.160046828090761	0.10569895065443971
2016-08-13T03:32:39.662000	[4963.84950236,4963.58319336,4963.46739631]	[0.02460346,0.00338162,0.01396798]	[0.12681208,0.02960488,0.05554289]	[ 0.45067788,-1.40121376,-0.16434849]	0.002202151179595105	0.29861963141828196	0.015193525477727803
2016-09-05T02:14:19.735000	[4988.]	[0.1]	[0.1]	[2.]	0.0016131323019008344	0.23548200450309495	0.0
2016-09-05T02:14:19.735000	[4501.73312626,4501.86956109,4501.91492297]	[2.87089776e-02,1.31326163e-14,1.40640440e-02]	[1.10146244,0.00580718,0.30175096]	[0.43819599,0.94336488,0.24711916]	0.0015762113388066705	2.5937458292941526	0.13173603190077693
2016-09-05T02:14:19.735000	[4682.98024242,4682.55824527,4684.        ]	[3.07460789e-17,1.53060479e-02,1.44543126e-02]	[0.78582642,0.37992296,0.83502005]	[-29.69430184, -0.83102817, -1.29840834]	0.0031994440386678446	1.9663219619268346	0.2144261342062765
2016-09-05T02:14:19.735000	[4984.66999393,4984.46230541,4984.85086022]	[0.01938449,0.01009539,0.00629735]	[0.06216094,0.05319922,0.04185691]	[ 0.04365721,-0.37000797, 0.4038944 ]	0.0014203027982047777	0.14637781852648993	0.0071460361012573425
2016-09-05T02:14:19.735000	[4726.15712235,4726.60936826,4725.2       ]	[0.00189669,0.01935993,0.01533634]	[0.03882493,0.51320809,2.61055822]	[ 0.16488256, 0.75945264,-1.01722602]	0.0021293152323173113	6.147394813426925	0.23529988968782883
2016-09-05T02:14:19.735000	[4963.75751895,4963.56150474,4963.90248181]	[0.00547964,0.01970657,0.02147221]	[0.0077979 ,0.09309311,0.12524305]	[ 0.04863046,-0.0935586 , 0.2562672 ]	0.0017883289828662023	0.29492484638979616	0.016361957258902046
